subset_id,model,label,Dice,IoU,Sensitivity,Precision,Specificity,D95,ASSD
9,MedNeXt,1,0.8095904912836207,0.7167688716350185,0.8760557873342556,0.7722623188728639,0.9945306931812045,15.020589313781802,4.350622229330997
9,nnUNet,1,0.836104983194673,0.7451023160653417,0.8545663656644404,0.835010763068379,0.9972501347168002,9.728572547503529,2.773714412346563
9,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
9,RWKV_fd,1,0.7574960087941542,0.6485255378751807,0.858220224905564,0.7131771685853745,0.9912052489691415,22.41625523049911,6.064025522740602
9,RWKV_fd_loss,1,0.7703781351853438,0.6645516457075865,0.863150270176634,0.7245390778685408,0.992178282727011,18.86693236791088,5.236887254411528
9,UNet3D,1,0.8348297252272772,0.7415247231418558,0.8521987496164023,0.8341214070210963,0.9975983297097007,7.636717779371468,2.139057733424298
10,BANet,1,0.8399392179063054,0.7472700870370537,0.8633575433246895,0.8272757127258856,0.9970430059365075,10.941017231050694,3.346049192048165
10,BGHNetV4,1,0.8102133705200092,0.713183329600226,0.8805062046492047,0.7792196232414434,0.9939630512448356,15.734985979436038,4.0639323481705505
10,MedNeXt,1,0.805007083205304,0.7045103988897267,0.8919470199661464,0.7569713240326863,0.9930976214708656,18.374836644779684,4.609821008456663
10,nnUNet,1,0.8463739069173226,0.7541555556694579,0.861366502592087,0.8398682365889585,0.9973148454323949,9.800893087792605,2.495620029910429
10,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
10,RWKV_fd,1,0.7658694621304502,0.6538729360173917,0.8716219852355997,0.7139954145086465,0.9906576569031416,21.239022718369647,5.633367843122421
10,RWKV_fd_loss,1,0.7735950144256474,0.6627175947404995,0.8734760978226854,0.7223399961077096,0.991921268303481,21.03371587286865,5.177705009346857
10,UNet3D,1,0.847905365508101,0.755584246649209,0.8723025969332558,0.8352723543899583,0.9976497066339984,7.3893702108353665,1.9546498369156968
11,BANet,1,0.8526444179608792,0.7571906046360002,0.9006335639552819,0.8289824102424174,0.9969049400416591,8.911861232546967,1.83358501953741
11,BGHNetV4,1,0.7994127671589888,0.6978223730535296,0.9114857823692992,0.7577687277202875,0.9937027531502824,15.67717318862864,3.9581655460317933
11,MedNeXt,1,0.7940668802840133,0.6878173598167969,0.9106197417958551,0.7376369911253324,0.9940437711689072,21.324869948081634,5.227211078059732
11,nnUNet,1,0.8598700918645307,0.7650649873936749,0.8988626390396147,0.8405282394195762,0.9973792707052775,8.269933308613991,1.7439522074744183
11,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
11,RWKV_fd,1,0.7362758951153199,0.6183119809648918,0.8912962700924533,0.6744194592861359,0.9905706230460465,28.898739613801364,7.361957307703594
11,RWKV_fd_loss,1,0.757885489655696,0.6445143922833646,0.8884310614470803,0.7034549384827888,0.9918335438931332,22.038806358117476,5.871239441818804
11,UNet3D,1,0.849716011379704,0.7499136952441127,0.886476487134912,0.8336997232083887,0.9974683145833432,8.666565830316921,1.7697350688953357
12,BANet,1,0.8586528424722999,0.7624091533423532,0.868586422185821,0.8611894633697645,0.9981893051228393,8.888096674980778,1.7704025128791099
12,BGHNetV4,1,0.8383207871084519,0.7412725699243244,0.896044186476586,0.819234032867605,0.9966777370001398,11.510168332840985,2.5998741513121955
12,MedNeXt,1,0.8333575352068543,0.7352157330067663,0.9038435419849261,0.8011794602862222,0.9963271303463503,13.65723930570204,3.3864813026811253
12,nnUNet,1,0.8569356154294479,0.7596866844589879,0.862549584342798,0.865652138516,0.9982612134859744,8.634948137178355,1.7634041631231459
12,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
12,RWKV_fd,1,0.771907765118004,0.6548871076168974,0.8721573699621088,0.7282985099342818,0.9941142824046019,23.28722866494629,5.6412814741074495
